PRODUCT_CODE;PRODUCT_GRAND_FAMILY_CODE;PRODUCT_GRAND_FAMILY_NAME;PRODUCT_FAMILY_CODE;PRODUCT_FAMILY_NAME
118;GF01;Produits stations carburants;FA01;Transactions stations carburants
119;GF01;Produits stations carburants;FA01;Transactions stations carburants
120;GF01;Produits stations carburants;FA01;Transactions stations carburants
121;GF01;Produits stations carburants;FA01;Transactions stations carburants
122;GF01;Produits stations carburants;FA01;Transactions stations carburants
123;GF01;Produits stations carburants;FA01;Transactions stations carburants
02A1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02A2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02A3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02C3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
02R3;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
201;GF01;Produits stations carburants;FA01;Transactions stations carburants
202;GF01;Produits stations carburants;FA01;Transactions stations carburants
203;GF01;Produits stations carburants;FA01;Transactions stations carburants
204;GF01;Produits stations carburants;FA01;Transactions stations carburants
205;GF01;Produits stations carburants;FA01;Transactions stations carburants
206;GF01;Produits stations carburants;FA01;Transactions stations carburants
207;GF01;Produits stations carburants;FA01;Transactions stations carburants
208;GF01;Produits stations carburants;FA01;Transactions stations carburants
209;GF01;Produits stations carburants;FA01;Transactions stations carburants
210;GF01;Produits stations carburants;FA01;Transactions stations carburants
211;GF01;Produits stations carburants;FA01;Transactions stations carburants
212;GF01;Produits stations carburants;FA01;Transactions stations carburants
213;GF01;Produits stations carburants;FA01;Transactions stations carburants
214;GF01;Produits stations carburants;FA01;Transactions stations carburants
215;GF01;Produits stations carburants;FA01;Transactions stations carburants
216;GF01;Produits stations carburants;FA01;Transactions stations carburants
217;GF01;Produits stations carburants;FA01;Transactions stations carburants
218;GF01;Produits stations carburants;FA01;Transactions stations carburants
219;GF01;Produits stations carburants;FA01;Transactions stations carburants
220;GF01;Produits stations carburants;FA01;Transactions stations carburants
221;GF01;Produits stations carburants;FA01;Transactions stations carburants
222;GF01;Produits stations carburants;FA01;Transactions stations carburants
223;GF01;Produits stations carburants;FA01;Transactions stations carburants
280;GF01;Produits stations carburants;FA01;Transactions stations carburants
281;GF01;Produits stations carburants;FA01;Transactions stations carburants
282;GF01;Produits stations carburants;FA01;Transactions stations carburants
283;GF01;Produits stations carburants;FA01;Transactions stations carburants
284;GF01;Produits stations carburants;FA01;Transactions stations carburants
288;GF01;Produits stations carburants;FA01;Transactions stations carburants
290;GF01;Produits stations carburants;FA01;Transactions stations carburants
291;GF01;Produits stations carburants;FA01;Transactions stations carburants
292;GF01;Produits stations carburants;FA01;Transactions stations carburants
298;GF01;Produits stations carburants;FA01;Transactions stations carburants
300;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
301;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
302;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
303;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
304;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
305;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
309;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
310;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
311;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
390;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
400;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
401;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
408;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
410;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
420;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
430;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
499;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
05C0;GF02;Produits Station Lavage;FA27;Ristournes et commissions Lavage
05R0;GF02;Produits Station Lavage;FA27;Ristournes et commissions Lavage
500;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
501;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
502;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
503;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
508;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
510;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
520;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
530;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
531;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
532;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
540;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
541;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
542;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
543;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
544;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
545;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
546;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
550;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
561;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
562;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
563;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
564;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
565;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
571;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
572;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
